u_x_normalized,v_y_normalized
0.197368,0.300255
0.197661,0.300464
0.197953,0.300679
0.198246,0.300887
0.198538,0.301095
0.198830,0.301304
0.199123,0.301519
0.199415,0.301727
0.199708,0.301935
0.200000,0.302150
0.200292,0.302365
0.200585,0.302567
0.200877,0.302775
0.201170,0.302983
0.201462,0.303192
0.201754,0.303400
0.202047,0.303608
0.202339,0.303816
0.202632,0.304031
0.202924,0.304233
0.203216,0.304441
0.203509,0.304643
0.203801,0.304844
0.204094,0.305053
0.204386,0.305261
0.204678,0.305463
0.204971,0.305664
0.205263,0.305866
0.205556,0.306074
0.205848,0.306276
0.206140,0.306477
0.206433,0.306679
0.206725,0.306874
0.207018,0.307062
0.207310,0.307270
0.207602,0.307478
0.207895,0.307687
0.208187,0.307888
0.208480,0.308096
0.208772,0.308298
0.209064,0.308500
0.209357,0.308701
0.209649,0.308903
0.209942,0.309098
0.210234,0.309299
0.210526,0.309501
0.210819,0.309696
0.211111,0.309890
0.211404,0.310092
0.211696,0.310294
0.211988,0.310495
0.212281,0.310690
0.212573,0.310892
0.212865,0.311093
0.213158,0.311288
0.213450,0.311483
0.213743,0.311684
0.214035,0.311879
0.214327,0.312074
0.214620,0.312269
0.214912,0.312464
0.215205,0.312659
0.215497,0.312860
0.215789,0.313055
0.216082,0.313250
0.216374,0.313445
0.216667,0.313646
0.216959,0.313848
0.217251,0.314043
0.217544,0.314231
0.217836,0.314433
0.218129,0.314627
0.218421,0.314816
0.218713,0.315010
0.219006,0.315212
0.219298,0.315393
0.219591,0.315575
0.219883,0.315763
0.220175,0.315951
0.220468,0.316139
0.220760,0.316327
0.221053,0.316515
0.221345,0.316710
0.221637,0.316898
0.221930,0.317093
0.222222,0.317281
0.222515,0.317470
0.222807,0.317658
0.223099,0.317853
0.223392,0.318041
0.223684,0.318222
0.223977,0.318404
0.224269,0.318592
0.224561,0.318773
0.224854,0.318955
0.225146,0.319143
0.225439,0.319324
0.225731,0.319505
0.226023,0.319700
0.226316,0.319888
0.226608,0.320077
0.226901,0.320265
0.227193,0.320446
0.227485,0.320628
0.227778,0.320816
0.228070,0.320997
0.228363,0.321179
0.228655,0.321360
0.228947,0.321535
0.229240,0.321716
0.229532,0.321904
0.229825,0.322079
0.230117,0.322260
0.230409,0.322448
0.230702,0.322637
0.230994,0.322825
0.231287,0.323013
0.231579,0.323194
0.231871,0.323376
0.232164,0.323564
0.232456,0.323745
0.232749,0.323927
0.233041,0.324115
0.233333,0.324289
0.233626,0.324471
0.233918,0.324652
0.234211,0.324834
0.234503,0.325008
0.234795,0.325197
0.235088,0.325371
0.235380,0.325559
0.235673,0.325747
0.235965,0.325929
0.236257,0.326104
0.236550,0.326285
0.236842,0.326466
0.237135,0.326641
0.237427,0.326823
0.237719,0.327004
0.238012,0.327172
0.238304,0.327347
0.238596,0.327521
0.238889,0.327696
0.239181,0.327877
0.239474,0.328059
0.239766,0.328234
0.240058,0.328408
0.240351,0.328590
0.240643,0.328764
0.240936,0.328939
0.241228,0.329107
0.241520,0.329275
0.241813,0.329450
0.242105,0.329624
0.242398,0.329799
0.242690,0.329967
0.242982,0.330135
0.243275,0.330310
0.243567,0.330484
0.243860,0.330652
0.244152,0.330827
0.244444,0.331002
0.244737,0.331177
0.245029,0.331351
0.245322,0.331526
0.245614,0.331694
0.245906,0.331855
0.246199,0.332030
0.246491,0.332205
0.246784,0.332373
0.247076,0.332547
0.247368,0.332708
0.247661,0.332870
0.247953,0.333038
0.248246,0.333212
0.248538,0.333380
0.248830,0.333548
0.249123,0.333723
0.249415,0.333891
0.249708,0.334052
0.250000,0.334227
0.250292,0.334395
0.250585,0.334563
0.250877,0.334738
0.251170,0.334906
0.251462,0.335067
0.251754,0.335235
0.252047,0.335410
0.252339,0.335571
0.252632,0.335732
0.252924,0.335907
0.253216,0.336081
0.253509,0.336249
0.253801,0.336417
0.254094,0.336585
0.254386,0.336747
0.254678,0.336908
0.254971,0.337076
0.255263,0.337237
0.255556,0.337398
0.255848,0.337573
0.256140,0.337734
0.256433,0.337896
0.256725,0.338050
0.257018,0.338211
0.257310,0.338373
0.257602,0.338534
0.257895,0.338702
0.258187,0.338863
0.258480,0.339024
0.258772,0.339186
0.259064,0.339347
0.259357,0.339508
0.259649,0.339669
0.259942,0.339831
0.260234,0.339992
0.260526,0.340153
0.260819,0.340308
0.261111,0.340469
0.261404,0.340630
0.261696,0.340792
0.261988,0.340953
0.262281,0.341114
0.262573,0.341269
0.262865,0.341416
0.263158,0.341571
0.263450,0.341732
0.263743,0.341887
0.264035,0.342048
0.264327,0.342209
0.264620,0.342370
0.264912,0.342518
0.265205,0.342680
0.265497,0.342841
0.265789,0.342995
0.266082,0.343150
0.266374,0.343311
0.266667,0.343472
0.266959,0.343620
0.267251,0.343781
0.267544,0.343943
0.267836,0.344091
0.268129,0.344245
0.268421,0.344406
0.268713,0.344568
0.269006,0.344715
0.269298,0.344863
0.269591,0.345025
0.269883,0.345179
0.270175,0.345327
0.270468,0.345488
0.270760,0.345643
0.271053,0.345790
0.271345,0.345945
0.271637,0.346106
0.271930,0.346261
0.272222,0.346409
0.272515,0.346563
0.272807,0.346724
0.273099,0.346872
0.273392,0.347020
0.273684,0.347181
0.273977,0.347329
0.274269,0.347477
0.274561,0.347625
0.274854,0.347786
0.275146,0.347941
0.275439,0.348088
0.275731,0.348243
0.276023,0.348391
0.276316,0.348539
0.276608,0.348686
0.276901,0.348848
0.277193,0.348995
0.277485,0.349143
0.277778,0.349291
0.278070,0.349446
0.278363,0.349593
0.278655,0.349741
0.278947,0.349889
0.279240,0.350037
0.279532,0.350185
0.279825,0.350333
0.280117,0.350474
0.280409,0.350622
0.280702,0.350769
0.280994,0.350917
0.281287,0.351078
0.281579,0.351226
0.281871,0.351374
0.282164,0.351522
0.282456,0.351663
0.282749,0.351811
0.283041,0.351959
0.283333,0.352100
0.283626,0.352248
0.283918,0.352395
0.284211,0.352543
0.284503,0.352684
0.284795,0.352832
0.285088,0.352980
0.285380,0.353128
0.285673,0.353262
0.285965,0.353410
0.286257,0.353558
0.286550,0.353706
0.286842,0.353840
0.287135,0.353988
0.287427,0.354136
0.287719,0.354277
0.288012,0.354418
0.288304,0.354566
0.288596,0.354713
0.288889,0.354848
0.289181,0.354996
0.289474,0.355143
0.289766,0.355291
